Grand Canyon|45|Kentucky|85
Virginia|79|James Madison|51
Presbyterian|44|Duke|113
Villanova|77|Lehigh|66
Mount St. Mary's|55|Arizona|78
Northern Kentucky|31|Wisconsin|62
Sacramento State|58|Gonzaga|104
New Mexico State|54|Wichita State|71
California-Santa Barbara|59|Kansas|69
Wagner|48|Maryland|82
Binghamton|39|Notre Dame|82
Ball State|72|Utah|90
McNeese State|39|Baylor|80
Minnesota|68|Louisville|81
Oakland|82|Iowa State|93
North Carolina Central|60|North Carolina|76
Monmouth|54|West Virginia|64
Lamar|54|Southern Methodist|93
Massachusetts-Lowell|55|Ohio State|92
Houston|77|Murray State|74
Hillsdale|61|Abilene Christian|101
Maryland-Baltimore County|57|Akron|74
Towson|54|Alabama|82
Auburn Montgomery|64|Alabama State|105
Chicago State|50|Arizona State|86
Air Force|78|Army|84
Milwaukee|73|Auburn|83
San Diego|75|Boise State|81
New Hampshire|50|Boston College|58
Texas-Arlington|86|Bradley|75
Long Beach State|90|Brigham Young|95
Saint Peter's|58|Brown|70
Marist|72|Bucknell|75
South Dakota State|67|Buffalo|69
High Point|100|Cal State Bakersfield|99
Alcorn State|57|California|91
Chapman|36|California-Irvine|87
Barber-Scotia|58|Campbell|97
Fairfield|71|Central Connecticut State|63
Hiwassee|53|Chattanooga|110
Saint Francis (PA)|37|Cincinnati|52
Virginia Military Institute|66|Citadel|65
Florida A&amp;M|41|Clemson|86
Trinity Baptist|36|Coastal Carolina|79
Drexel|48|Colorado|65
Bryant|53|Connecticut|66
Central Arkansas|77|Creighton|104
Alabama A&amp;M|52|Dayton|76
Illinois-Chicago|71|DePaul|72
Rochester (MI)|54|Detroit Mercy|77
North Carolina Wesleyan|81|East Carolina|99
Savannah State|53|Eastern Kentucky|76
St. Francis (IL)|52|Eastern Michigan|64
Texas Southern|62|Eastern Washington|86
Florida Atlantic|58|Elon|64
William &amp; Mary|45|Florida|68
Florida College|42|Florida International|64
NYIT|77|Fordham|94
College of Charleston|75|Furman|40
Cornell|68|George Mason|60
Grambling|40|George Washington|92
Tennessee Temple|55|Georgia State|115
Georgia|73|Georgia Tech|80
Sacred Heart|71|Hartford|53
Massachusetts Institute of Technology|52|Harvard|73
Arkansas-Pine Bluff|57|Hawaii|85
Jacksonville|61|Hofstra|94
Eastern Oregon|65|Idaho|77
Georgia Southern|71|Illinois|80
Texas-Tyler|49|Incarnate Word|89
Mississippi Valley State|65|Indiana|116
Cleveland State|73|Iona|78
Hampton|56|Iowa|90
Manchester|50|IPFW|74
Indiana State|79|IUPUI|66
Southern Utah|68|Kansas State|98
Randolph|45|Liberty|69
Berry|70|Lipscomb|91
Averett|53|Longwood|79
Louisiana College|57|Louisiana-Lafayette|85
Rockhurst|58|Loyola (IL)|71
Southeast Missouri State|66|Loyola Marymount|76
Tennessee-Martin|63|Marquette|79
Jacksonville State|55|Marshall|74
Siena|87|Massachusetts|95
Piedmont|48|Mercer|88
Howard|49|Miami (FL)|84
Ohio Valley|60|Middle Tennessee|77
Charleston Southern|66|Mississippi|65
Western Carolina|56|Mississippi State|66
Missouri-Kansas City|69|Missouri|61
Eastern Illinois|53|Missouri State|64
Michigan State|64|Navy|59
Morehead State|59|Nevada-Las Vegas|60
Idaho State|55|New Mexico|79
Pfeiffer|43|Norfolk State|81
Greensboro|61|North Carolina A&amp;T|91
Chowan|62|North Carolina-Greensboro|76
Jackson State|58|North Carolina State|93
Arkansas-Monticello|62|North Texas|84
Black Hills State|62|Northern Colorado|83
Houston Baptist|58|Northwestern|65
Southeastern Louisiana|55|Oklahoma State|83
Coppin State|65|Oregon|107
Rice|54|Oregon State|67
Morgan State|48|Penn State|61
Fresno State|74|Pepperdine|89
Niagara|45|Pittsburgh|78
Concordia (OR)|59|Portland|87
Rider|58|Princeton|64
Samford|40|Purdue|80
Yale|85|Quinnipiac|88
Pace|54|Rhode Island|94
Radford|46|Richmond|64
Lafayette|77|Robert Morris|50
Fairleigh Dickinson|58|Saint Joseph's|57
Cal State Los Angeles|67|Saint Mary's (CA)|77
Austin College|52|Sam Houston State|100
Cal State Northridge|58|San Diego State|79
Bethesda University (CA)|44|San Jose State|67
Cal State Fullerton|72|Santa Clara|89
Texas State|62|Seattle|53
Carroll (MT)|64|South Alabama|83
North Florida|56|South Carolina|81
Flagler|61|South Florida|75
Louisiana Tech|85|Southern|76
Harris-Stowe|56|Southern Illinois-Edwardsville|104
William Carey|63|Southern Mississippi|86
NJIT|58|St. John's (NY)|77
Wofford|59|Stanford|74
Mississippi College|49|Stephen F. Austin|75
Edward Waters|61|Stetson|75
Columbia|56|Stony Brook|57
Kennesaw State|42|Syracuse|89
American|37|Temple|40
Virginia Commonwealth|85|Tennessee|69
Reinhardt|66|Tennessee State|97
Piedmont|29|Tennessee Tech|83
North Dakota State|50|Texas|85
Northwestern State|68|Texas A&amp;M|109
Our Lady of the Lake|58|Texas A&amp;M-Corpus Christi|73
Prairie View|54|Texas Christian|71
Washington State|52|Texas-El Paso|65
Wayland Baptist|80|Texas-Pan American|88
Huston-Tillotson|74|Texas-San Antonio|92
Loyola (MD)|59|Texas Tech|71
Brewton-Parker|71|Troy|85
Montana State|78|UCLA|113
Weber State|61|Utah State|72
South Dakota|52|Utah Valley|60
East Tennessee State|76|Valparaiso|90
Maryland-Eastern Shore|46|Virginia Tech|71
North Carolina-Asheville|69|Wake Forest|80
South Carolina State|59|Washington|77
Pacific|73|Western Illinois|71
Belmont|70|Wright State|73
Northern Arizona|60|Xavier|93
Fairfield|59|Duke|109
North Dakota|52|Northern Iowa|64
Maine|57|Butler|99
Albany (NY)|60|Providence|64
Citadel|55|Air Force|68
Louisiana-Monroe|74|Alabama-Birmingham|65
High Point|74|Arkansas-Pine Bluff|62
Virginia Military Institute|86|Army|92
Trinity (TX)|69|Bethune-Cookman|91
California-San Diego|52|California-Riverside|75
Vermont|60|Canisius|64
Montana|66|Colorado State|83
Catholic|66|Davidson|102
Bowling Green State|77|Drake|58
Bluefield State|51|Duquesne|91
Earlham (IN)|45|Evansville|116
